doctor_id,doctor_name,specialization,location_lat,location_lon,available_from,available_to,visit_duration_mins,priority_score,MR_id,others
DR001,William Cook,Pediatrician,19.057305,72.891036,11:00,12:00,20,1,MR3,"Brochure, Digital device for demo"
DR002,Christopher Nguyen,Dermatologist,19.085229,72.847324,12:00,13:00,30,7,MR1,"Samples, Survey form"
DR003,Stephen White,Neurologist,19.041018,72.865216,11:00,13:00,30,1,MR2,"Product brochure, Samples, Feedback form"
DR004,Allison Farmer,Dermatologist,19.056148,72.913526,14:00,16:00,30,4,MR2,Patient feedback needed
DR005,Kelly Edwards,Oncologist,19.096883,72.91075,09:00,11:00,15,6,MR2,Appointment confirmation slip
DR006,Amy Church,Neurologist,19.030189,72.828588,12:00,14:00,20,1,MR1,Patient feedback needed
DR007,Richard Hammond,Dermatologist,19.115438,72.899594,09:00,11:00,30,3,MR3,Appointment confirmation slip
DR008,Meghan Bailey,Cardiologist,19.0385,72.887859,10:00,12:00,30,6,MR2,"Samples, Survey form"
DR009,Richard Bryant,Pediatrician,19.078274,72.901411,14:00,15:00,30,9,MR2,Visit after 8 days
DR010,Joshua Phillips,Orthopedic,19.049316,72.867501,13:00,14:00,15,8,MR3,"Brochure, Digital device for demo"
DR011,Marcus Lee,Oncologist,19.066974,72.893576,12:00,13:00,15,2,MR1,More Calpol is required
DR012,Kenneth Bass,Neurologist,19.102561,72.889885,13:00,14:00,20,4,MR3,"Feedback form, Survey kit"
DR013,Laura Stephens,Pediatrician,19.090408,72.90264,09:00,10:00,15,2,MR3,Paracetamol is req
DR014,Erik Wilson,Pediatrician,19.119922,72.854762,15:00,16:00,20,7,MR3,"Samples, Survey form"
DR015,Deborah Alvarez,Pediatrician,19.102102,72.881674,11:00,12:00,15,1,MR1,"Samples, Survey form"
DR016,Terry Davis,Pediatrician,19.071223,72.846333,09:00,10:00,20,3,MR2,"Samples, Survey form"
DR017,Tracy Copeland,Cardiologist,19.035348,72.849715,11:00,13:00,20,8,MR3,"Product brochure, Samples, Feedback form"
DR018,Maria Ryan,Dermatologist,19.119609,72.84726,10:00,12:00,30,7,MR1,"Product brochure, Samples, Feedback form"
DR019,Justin Hernandez,Orthopedic,19.060901,72.859866,10:00,12:00,15,7,MR2,"Feedback form, Survey kit"
DR020,Dr. Angela Gilmore,Dermatologist,19.095164,72.921892,12:00,14:00,15,1,MR2,Appointment confirmation slip
DR021,Bryce Atkins,Oncologist,19.094887,72.868902,11:00,12:00,30,9,MR1,"Product brochure, Samples"
DR022,Jeffrey Carter,Oncologist,19.112561,72.839304,13:00,14:00,30,3,MR1,More Calpol is required
DR023,Edward Norris,Oncologist,19.051947,72.837602,15:00,17:00,15,2,MR1,"Feedback form, Survey kit"
DR024,Jason Holloway,Oncologist,19.034796,72.864626,11:00,12:00,30,4,MR1,More Calpol is required
